Site, Name, Date, InTime, InStatus, InDoor, OutTime, OutStatus, OutDoor, Lunch, Break, Supper, Daily, Running
GenericSiteA,Generic Employee 1,42302,0.48287037, , In Reader, , No Punch, , 00:00, 00:00, 00:00, 00:00, Error
GenericSiteA,Generic Employee 1,42303,0.492222222, , In Reader,0.877453704, , Out Reader, 00:00, 00:00, 00:00, 09:15, 09:15
GenericSiteA,Generic Employee 1,42304,0.491296296, , In Reader,0.8775, , Out Reader, 00:00, 00:00, 00:00, 09:15, 18:30
GenericSiteA,Generic Employee 1,42306,0.835844907, , In Reader, , No Punch, , 00:00, 00:00, 00:00, 00:00, Error
GenericSiteA,Generic Employee 1,42308, , No Punch, ,0.876331019, , Out Reader, 00:00, 00:00, 00:00, 00:00, Error
GenericSiteA,Generic Employee 1,42309,0.362326389, , In Reader,0.751875, , Out Reader, 00:00, 00:00, 00:00, 09:15, 27:45:00
GenericSiteA,Generic Employee 1,42310,0.444918981, , In Reader,0.834837963, , Out Reader, 00:00, 00:00, 00:00, 09:15, 37:00:00
GenericSiteA,Generic Employee 1,42311, , No Punch, ,0.834606481, , Out Reader, 00:00, 00:00, 00:00, 00:00, Error
GenericSiteA,Generic Employee 1,42313,0.437094907, , In Reader,0.836030093, , Out Reader, 00:00, 00:00, 00:00, 09:30, 46:30:00
GenericSiteA,Generic Employee 1,42315,0.450983796, , In Reader,0.834814815, , Out Reader, 00:00, 00:00, 00:00, 09:00, 55:30:00
GenericSiteA,Generic Employee 1,42316,0.447939815, , In Reader, , No Punch, , 00:00, 00:00, 00:00, 00:00, Error
GenericSiteA,Generic Employee 1,42317,0.448310185, , In Reader,0.836724537, , Out Reader, 00:00, 00:00, 00:00, 09:15, 64:45:00
GenericSiteA,Generic Employee 1,42318,0.448715278, , In Reader,0.835381944, , Out Reader, 00:00, 00:00, 00:00, 09:15, 74:00:00
GenericSiteA,Generic Employee 1,42319, , No Punch, ,0.835509259, , Out Reader, 00:00, 00:00, 00:00, 00:00, Error
GenericSiteA,Generic Employee 1,42322,0.435752315, , In Reader, , No Punch, , 00:00, 00:00, 00:00, 00:00, Error
GenericSiteA,Generic Employee 1,42324,0.456608796, , In Reader,0.837094907, , Out Reader, 00:00, 00:00, 00:00, 09:00, 83:00:00
GenericSiteA,Generic Employee 1,42325,0.439733796, , In Reader,0.835914352, , Out Reader, 00:00, 00:00, 00:00, 09:30, 92:30:00
GenericSiteA,Generic Employee 1,42326, , No Punch, ,0.837847222, , Out Reader, 00:00, 00:00, 00:00, 00:00, Error
GenericSiteA,Generic Employee 1,42329,0.404976852, , In Reader,0.793599537, , Out Reader, 00:00, 00:00, 00:00, 09:15, 101:45:00
GenericSiteA,Generic Employee 1,42330,0.445439815, , In Reader,0.834861111, , Out Reader, 00:00, 00:00, 00:00, 09:15, 111:00:00
GenericSiteA,Generic Employee 1,42331, , No Punch, ,0.83474537, , Out Reader, 00:00, 00:00, 00:00, 00:00, Error
GenericSiteA,Generic Employee 1,42332,0.441469907, , In Reader, , No Punch, , 00:00, 00:00, 00:00, 00:00, Error
GenericSiteA,Generic Employee 2,42303,0.492164352, , In Reader,0.876111111, , Out Reader, 00:00, 00:00, 00:00, 09:15, 09:15
GenericSiteA,Generic Employee 2,42305,0.494722222, , In Reader,0.876041667, , Out Reader, 00:00, 00:00, 00:00, 09:00, 18:15
GenericSiteA,Generic Employee 2,42306,0.483703704, , In Reader,0.875810185, , Out Reader, 00:00, 00:00, 00:00, 09:15, 27:30:00
GenericSiteA,Generic Employee 2,42307,0.365011574, , In Reader,0.751400463, , Out Reader, 00:00, 00:00, 00:00, 09:15, 36:45:00
GenericSiteA,Generic Employee 2,42312,0.324479167, , In Reader,0.709953704, , Out Reader, 00:00, 00:00, 00:00, 09:15, 46:00:00
GenericSiteA,Generic Employee 2,42315, , No Punch, ,0.750856481, , Out Reader, 00:00, 00:00, 00:00, 00:00, Error
GenericSiteA,Generic Employee 2,42316,0.447256944, , In Reader,0.835, , Out Reader, 00:00, 00:00, 00:00, 09:15, 55:15:00
GenericSiteA,Generic Employee 2,42318,0.441782407, , In Reader,0.835428241, , Out Reader, 00:00, 00:00, 00:00, 09:15, 64:30:00
GenericSiteA,Generic Employee 2,42319,0.448333333, , In Reader, , No Punch, , 00:00, 00:00, 00:00, 00:00, Error
GenericSiteA,Generic Employee 2,42325,0.440752315, , In Reader,0.834722222, , Out Reader, 00:00, 00:00, 00:00, 09:15, 73:45:00
GenericSiteA,Generic Employee 2,42327,0.402581019, , In Reader,0.797789352, , Out Reader, 00:00, 00:00, 00:00, 09:15, 83:00:00
GenericSiteA,Generic Employee 2,42328,0.328402778, , In Reader,0.709675926, , Out Reader, 00:00, 00:00, 00:00, 09:00, 92:00:00
GenericSiteA,Generic Employee 2,42329,0.315115741, , In Reader,0.709166667, , Out Reader, 00:00, 00:00, 00:00, 09:30, 101:30:00
GenericSiteA,Generic Employee 2,42332,0.328425926, , In Reader,0.710231481, , Out Reader, 00:00, 00:00, 00:00, 09:00, 110:30:00
GenericSiteA,Generic Employee 3,42302,0.361886574, , In Reader, , No Punch, , 00:00, 00:00, 00:00, 00:00, Error
GenericSiteA,Generic Employee 3,42303,0.367685185, , In Reader,0.753946759, , Out Reader, 00:00, 00:00, 00:00, 09:00, 09:00
GenericSiteA,Generic Employee 3,42304,0.363761574, , In Reader,0.755416667, , Out Reader, 00:00, 00:00, 00:00, 09:15, 18:15
GenericSiteA,Generic Employee 3,42306,0.491678241, , In Reader,0.878298611, , Out Reader, 00:00, 00:00, 00:00, 09:15, 27:30:00
GenericSiteA,Generic Employee 3,42307,0.487766204, , In Reader,0.876631944, , Out Reader, 00:00, 00:00, 00:00, 09:15, 36:45:00
GenericSiteA,Generic Employee 3,42308,0.469791667, , In Reader,0.876770833, , Out Reader, 00:00, 00:00, 00:00, 09:45, 46:30:00
GenericSiteA,Generic Employee 3,42311,0.319143519, , In Reader,0.710752315, , Out Reader, 00:00, 00:00, 00:00, 09:15, 55:45:00
GenericSiteA,Generic Employee 3,42312,0.320648148, , In Reader,0.712430556, , Out Reader, 00:00, 00:00, 00:00, 09:15, 65:00:00
GenericSiteA,Generic Employee 3,42313,0.32099537, , In Reader,0.710543981, , Out Reader, 00:00, 00:00, 00:00, 09:15, 74:15:00
GenericSiteA,Generic Employee 3,42314,0.448298611, , In Reader,0.836793981, , Out Reader, 00:00, 00:00, 00:00, 09:15, 83:30:00
GenericSiteA,Generic Employee 3,42318,0.448680556, , In Reader,0.835497685, , Out Reader, 00:00, 00:00, 00:00, 09:15, 92:45:00
GenericSiteA,Generic Employee 3,42319,0.323368056, , In Reader,0.711134259, , Out Reader, 00:00, 00:00, 00:00, 09:15, 102:00:00
GenericSiteA,Generic Employee 3,42320,0.322013889, , In Reader,0.710300926, , Out Reader, 00:00, 00:00, 00:00, 09:15, 111:15:00
GenericSiteA,Generic Employee 3,42321,0.450740741, , In Reader,0.836018519, , Out Reader, 00:00, 00:00, 00:00, 09:00, 120:15:00
GenericSiteA,Generic Employee 3,42323,0.323391204, , In Reader,0.710972222, , Out Reader, 00:00, 00:00, 00:00, 09:15, 129:30:00
GenericSiteA,Generic Employee 3,42324,0.446840278, , In Reader,0.834837963, , Out Reader, 00:00, 00:00, 00:00, 09:15, 138:45:00
GenericSiteA,Generic Employee 3,42325,0.447303241, , In Reader,0.834965278, , Out Reader, 00:00, 00:00, 00:00, 09:15, 148:00:00
GenericSiteA,Generic Employee 3,42326,0.332037037, , In Reader,0.711863426, , Out Reader, 00:00, 00:00, 00:00, 09:00, 157:00:00
GenericSiteA,Generic Employee 3,42327,0.448344907, , In Reader,0.835034722, , Out Reader, 00:00, 00:00, 00:00, 09:15, 166:15:00
GenericSiteA,Generic Employee 3,42331,0.326041667, , In Reader,0.71099537, , Out Reader, 00:00, 00:00, 00:00, 09:00, 175:15:00
GenericSiteA,Generic Employee 3,42332,0.449375, , In Reader,0.835960648, , Out Reader, 00:00, 00:00, 00:00, 09:15, 184:30:00
GenericSiteA,Generic Employee 4,42303,0.374583333, , In Reader,0.754074074, , Out Reader, 00:00, 00:00, 00:00, 09:00, 09:00
GenericSiteA,Generic Employee 4,42304,0.37193287, , In Reader,0.785451389, , Out Reader, 00:00, 00:00, 00:00, 09:45, 18:45
GenericSiteA,Generic Employee 4,42305,0.381122685, , In Reader,0.753796296, , Out Reader, 00:00, 00:00, 00:00, 08:45, 27:30:00
GenericSiteA,Generic Employee 4,42306,0.376666667, , In Reader,0.76181713, , Out Reader, 00:00, 00:00, 00:00, 09:15, 36:45:00
GenericSiteA,Generic Employee 4,42307,0.377939815, , In Reader,0.751770833, , Out Reader, 00:00, 00:00, 00:00, 08:45, 45:30:00
GenericSiteA,Generic Employee 4,42310,0.373738426, , In Reader,0.71380787, , Out Reader, 00:00, 00:00, 00:00, 08:00, 53:30:00
GenericSiteA,Generic Employee 4,42311,0.337581019, , In Reader,0.712928241, , Out Reader, 00:00, 00:00, 00:00, 08:45, 62:15:00
GenericSiteA,Generic Employee 4,42313,0.335960648, , In Reader,0.711134259, , Out Reader, 00:00, 00:00, 00:00, 09:00, 71:15:00
